0	-1	0	0	0	0	0	-10000.00001	0	0
0	0	0	1	0	0	0	-10000	0	0
0	1	0	2	0	0	0	-9999.99999	0	0
1	0	1	3	0	0	0	-6.81758	0	0
1	-2	1	4	0	2	2	-1E-5	0	0
1	2	1	5	0	2	2	0	0	0
1	0	1	6	0	2	2	1E-5	0	0
2	0	1	7	0	0	0	41147.81261	0	0
2	0	1	8	0	2	0	41148.05609	0	0
2	-2	1	9	0	2	2	41148.2387	0	0
2	2	1	10	0	2	2	41148.23871	0	0
2	0	1	11	0	2	2	41148.23872	0	0
2	0	1	12	0	0	2	41148.29957	0	0
2	-2	1	13	0	0	2	41148.29958	0	0
2	2	1	14	0	0	2	41148.29959	0	0
2	-4	1	15	0	2	4	41148.38478	0	0
2	4	1	16	1	2	4	41148.38479	0	0
2	-2	1	17	0	2	4	41148.3848	0	0
2	2	1	18	0	2	4	41148.38481	0	0
2	0	1	19	0	2	4	41148.38482	0	0
2	-2	1	20	0	2	2	41148.6648	0	0
2	2	1	21	0	2	2	41148.66481	0	0
2	0	1	22	0	2	2	41148.66482	0	0
